name,t,x,y,z,vx,vy,vz,E,L
Sun,0,0,0,0,0,0,0,-1.97701e+35,3.14144e+43
Mercury,0,5.78952e+10,0,0,0,47360,0,-1.97701e+35,3.14144e+43
Venus,0,1.08161e+11,0,0,0,35020,0,-1.97701e+35,3.14144e+43
Earth,0,1.496e+11,0,0,0,29780,0,-1.97701e+35,3.14144e+43
Moon,0,1.49984e+11,0,0,0,30802,0,-1.97701e+35,3.14144e+43
Mars,0,2.2799e+11,0,0,0,24077,0,-1.97701e+35,3.14144e+43
Jupiter,0,7.78369e+11,0,0,0,13070,0,-1.97701e+35,3.14144e+43
Saturn,0,1.42674e+12,0,0,0,9690,0,-1.97701e+35,3.14144e+43
Uranus,0,2.87097e+12,0,0,0,6800,0,-1.97701e+35,3.14144e+43
Neptune,0,4.49847e+12,0,0,0,5430,0,-1.97701e+35,3.14144e+43
Sun,6.3072e+07,4.1731e+08,1.55913e+08,0,12.1457,6.70793,0,-1.97701e+35,3.14144e+43
Mercury,6.3072e+07,-4.84387e+10,-2.63309e+10,0,23063.2,-43618.7,0,-1.97701e+35,3.14144e+43
Venus,6.3072e+07,-3.04882e+09,1.08158e+11,0,-35022,-1142.44,0,-1.97701e+35,3.14144e+43
Earth,6.3072e+07,1.50006e+11,-1.71459e+09,0,395.309,29792.6,0,-1.97701e+35,3.14144e+43
Moon,6.3072e+07,1.50147e+11,-1.35439e+09,0,-537.999,30170.5,0,-1.97701e+35,3.14144e+43
Mars,6.3072e+07,2.07239e+11,9.58754e+10,0,-10146.8,21845.7,0,-1.97701e+35,3.14144e+43
Jupiter,6.3072e+07,3.81979e+11,6.78936e+11,0,-11371.4,6414.11,0,-1.97701e+35,3.14144e+43
Saturn,6.3072e+07,1.29848e+12,5.92855e+11,0,-4002.88,8823.89,0,-1.97701e+35,3.14144e+43
Uranus,6.3072e+07,2.83891e+12,4.273e+11,0,-1014.73,6724.43,0,-1.97701e+35,3.14144e+43
Neptune,6.3072e+07,4.4854e+12,3.42151e+11,0,-414.312,5414.3,0,-1.97701e+35,3.14144e+43
Sun,1.26144e+08,1.27595e+09,1.00253e+09,0,12.854,20.0565,0,-1.97701e+35,3.14144e+43
Mercury,1.26144e+08,3.62244e+10,4.65156e+10,0,-38392.2,28461.4,0,-1.97701e+35,3.14144e+43
Venus,1.26144e+08,-1.06471e+11,-6.28363e+09,0,2370.57,-34974.6,0,-1.97701e+35,3.14144e+43
Earth,1.26144e+08,1.50836e+11,-2.74234e+09,0,767.035,29812,0,-1.97701e+35,3.14144e+43
Moon,1.26144e+08,1.50556e+11,-2.47681e+09,0,72.8128,29073.4,0,-1.97701e+35,3.14144e+43
Mars,1.26144e+08,1.48462e+11,1.74648e+11,0,-18435,15548.9,0,-1.97701e+35,3.14144e+43
Jupiter,1.26144e+08,-4.02839e+11,6.66961e+11,0,-11150.2,-6752.37,0,-1.97701e+35,3.14144e+43
Saturn,1.26144e+08,9.37277e+11,1.07971e+12,0,-7274.18,6380.98,0,-1.97701e+35,3.14144e+43
Uranus,1.26144e+08,2.74345e+12,8.45092e+11,0,-2006.76,6498.95,0,-1.97701e+35,3.14144e+43
Neptune,1.26144e+08,4.44626e+12,6.82322e+11,0,-826.206,5367.23,0,-1.97701e+35,3.14144e+43
Sun,1.89216e+08,1.79362e+09,2.5516e+09,0,2.33496,26.9982,0,-1.97701e+35,3.14144e+43
Mercury,1.89216e+08,-3.89941e+09,-5.36837e+10,0,48158.3,-5918.31,0,-1.97701e+35,3.14144e+43
Venus,1.89216e+08,1.28398e+10,-1.04975e+11,0,34863.8,3576.5,0,-1.97701e+35,3.14144e+43
Earth,1.89216e+08,1.51287e+11,-3.07044e+09,0,1116.99,29811.6,0,-1.97701e+35,3.14144e+43
Moon,1.89216e+08,1.5094e+11,-3.23362e+09,0,1535.88,28879.7,0,-1.97701e+35,3.14144e+43
Mars,1.89216e+08,6.18785e+10,2.21697e+11,0,-23320.7,6315.81,0,-1.97701e+35,3.14144e+43
Jupiter,1.89216e+08,-7.76603e+11,-2.23238e+10,0,425.779,-13026.3,0,-1.97701e+35,3.14144e+43
Saturn,1.89216e+08,4.08669e+11,1.37397e+12,0,-9232.24,2812.46,0,-1.97701e+35,3.14144e+43
Uranus,1.89216e+08,2.5867e+12,1.24405e+12,0,-2954.65,6128.16,0,-1.97701e+35,3.14144e+43
Neptune,1.89216e+08,4.38128e+12,1.01854e+12,0,-1233.4,5289.02,0,-1.97701e+35,3.14144e+43
Sun,2.52288e+08,1.57992e+09,4.14689e+09,0,-8.05344,21.4178,0,-1.97701e+35,3.14144e+43
Mercury,2.52288e+08,-1.44891e+10,5.80722e+10,0,-46423.5,-14848.3,0,-1.97701e+35,3.14144e+43
Venus,2.52288e+08,1.08771e+11,1.85794e+10,0,-4684.71,34728.4,0,-1.97701e+35,3.14144e+43
Earth,2.52288e+08,1.50994e+11,-3.35034e+09,0,1472.09,29775.9,0,-1.97701e+35,3.14144e+43
Moon,2.52288e+08,1.51018e+11,-3.73593e+09,0,2478.35,29827.3,0,-1.97701e+35,3.14144e+43
Mars,2.52288e+08,-3.66652e+10,2.27677e+11,0,-23848.7,-4163.18,0,-1.97701e+35,3.14144e+43
Jupiter,2.52288e+08,-3.58217e+11,-6.86068e+11,0,11582.6,-6014.01,0,-1.97701e+35,3.14144e+43
Saturn,2.52288e+08,-1.92441e+11,1.42446e+12,0,-9541.83,-1230.36,0,-1.97701e+35,3.14144e+43
Uranus,2.52288e+08,2.3721e+12,1.61523e+12,0,-3837.56,5620.05,0,-1.97701e+35,3.14144e+43
Neptune,2.52288e+08,4.29082e+12,1.34885e+12,0,-1633.59,5180.11,0,-1.97701e+35,3.14144e+43
Sun,3.1536e+08,1.01084e+09,5.14466e+09,0,-7.71534,10.0615,0,-1.97701e+35,3.14144e+43
Mercury,3.1536e+08,4.37147e+10,-3.34702e+10,0,32462.1,34856.9,0,-1.97701e+35,3.14144e+43
Venus,3.1536e+08,-1.68656e+10,1.117e+11,0,-34577.9,-5813.83,0,-1.97701e+35,3.14144e+43
