name,t,x,y,z,vx,vy,vz,E,L
Sun,0,0,0,0,0,0,0,-1.97701e+35,3.14144e+43
Mercury,0,5.78952e+10,0,0,0,47360,0,-1.97701e+35,3.14144e+43
Venus,0,1.08161e+11,0,0,0,35020,0,-1.97701e+35,3.14144e+43
Earth,0,1.496e+11,0,0,0,29780,0,-1.97701e+35,3.14144e+43
Moon,0,1.49984e+11,0,0,0,30802,0,-1.97701e+35,3.14144e+43
Mars,0,2.2799e+11,0,0,0,24077,0,-1.97701e+35,3.14144e+43
Jupiter,0,7.78369e+11,0,0,0,13070,0,-1.97701e+35,3.14144e+43
Saturn,0,1.42674e+12,0,0,0,9690,0,-1.97701e+35,3.14144e+43
Uranus,0,2.87097e+12,0,0,0,6800,0,-1.97701e+35,3.14144e+43
Neptune,0,4.49847e+12,0,0,0,5430,0,-1.97701e+35,3.14144e+43
Sun,6.3072e+07,4.17256e+08,1.55905e+08,0,12.1538,6.68886,0,-1.97644e+35,3.14148e+43
Mercury,6.3072e+07,1.01164e+10,5.92819e+10,0,-46537.3,6601.84,0,-1.97644e+35,3.14148e+43
Venus,6.3072e+07,1.06843e+10,1.08614e+11,0,-34746.2,3277.86,0,-1.97644e+35,3.14148e+43
Earth,6.3072e+07,1.50362e+11,-6.15418e+09,0,1268.01,29734.9,0,-1.97644e+35,3.14148e+43
Moon,6.3072e+07,1.4993e+11,-5.8273e+09,0,771.975,29034.9,0,-1.97644e+35,3.14148e+43
Mars,6.3072e+07,2.07851e+11,9.50275e+10,0,-10043.5,21881.9,0,-1.97644e+35,3.14148e+43
Jupiter,6.3072e+07,3.81989e+11,6.78942e+11,0,-11371.3,6414.24,0,-1.97644e+35,3.14148e+43
Saturn,6.3072e+07,1.29848e+12,5.92856e+11,0,-4002.88,8823.89,0,-1.97644e+35,3.14148e+43
Uranus,6.3072e+07,2.83891e+12,4.273e+11,0,-1014.73,6724.43,0,-1.97644e+35,3.14148e+43
Neptune,6.3072e+07,4.4854e+12,3.42151e+11,0,-414.312,5414.3,0,-1.97644e+35,3.14148e+43
Sun,1.26144e+08,1.27591e+09,1.00243e+09,0,12.8734,20.048,0,-1.97592e+35,3.14152e+43
Mercury,1.26144e+08,4.64764e+10,-4.3843e+10,0,32437.1,31613.7,0,-1.97592e+35,3.14152e+43
Venus,1.26144e+08,-9.83385e+10,4.70969e+10,0,-14606.3,-31551,0,-1.97592e+35,3.14152e+43
Earth,1.26144e+08,1.50293e+11,-2.0393e+10,0,4226.52,29419.8,0,-1.97592e+35,3.14152e+43
Moon,1.26144e+08,1.50098e+11,-2.10132e+10,0,4946.09,29194.1,0,-1.97592e+35,3.14152e+43
Mars,1.26144e+08,1.5184e+11,1.72278e+11,0,-18134.4,15865.5,0,-1.97592e+35,3.14152e+43
Jupiter,1.26144e+08,-4.02827e+11,6.67001e+11,0,-11150.4,-6751.67,0,-1.97592e+35,3.14152e+43
Saturn,1.26144e+08,9.37283e+11,1.07971e+12,0,-7274.16,6381,0,-1.97592e+35,3.14152e+43
Uranus,1.26144e+08,2.74345e+12,8.45092e+11,0,-2006.76,6498.95,0,-1.97592e+35,3.14152e+43
Neptune,1.26144e+08,4.44626e+12,6.82322e+11,0,-826.206,5367.23,0,-1.97592e+35,3.14152e+43
Sun,1.89216e+08,1.79393e+09,2.5515e+09,0,2.36295,27.0744,0,-1.97543e+35,3.14156e+43
Mercury,1.89216e+08,6.75034e+10,1.42168e+10,0,-7899.05,43382.3,0,-1.97543e+35,3.14156e+43
Venus,1.89216e+08,-9.19904e+10,-5.61885e+10,0,18364.1,-29352,0,-1.97543e+35,3.14156e+43
Earth,1.89216e+08,1.45994e+11,-4.22474e+10,0,8798.48,28342.3,0,-1.97543e+35,3.14156e+43
Moon,1.89216e+08,1.46973e+11,-4.19005e+10,0,8534.06,28698.6,0,-1.97543e+35,3.14156e+43
Mars,1.89216e+08,7.0925e+10,2.19685e+11,0,-23011.8,7249.58,0,-1.97543e+35,3.14156e+43
Jupiter,1.89216e+08,-7.76659e+11,-2.22341e+10,0,423.956,-13025.9,0,-1.97543e+35,3.14156e+43
Saturn,1.89216e+08,4.08677e+11,1.37398e+12,0,-9232.21,2812.52,0,-1.97543e+35,3.14156e+43
Uranus,1.89216e+08,2.5867e+12,1.24405e+12,0,-2954.65,6128.16,0,-1.97543e+35,3.14156e+43
Neptune,1.89216e+08,4.38128e+12,1.01854e+12,0,-1233.4,5289.02,0,-1.97543e+35,3.14156e+43
Sun,2.52288e+08,1.58049e+09,4.14739e+09,0,-8.19876,21.5337,0,-1.97496e+35,3.14159e+43
Mercury,2.52288e+08,2.12971e+10,-6.10424e+10,0,42390.8,11724.1,0,-1.97496e+35,3.14159e+43
Venus,2.52288e+08,-2.5966e+10,-1.03988e+11,0,33403.6,-8532.48,0,-1.97496e+35,3.14159e+43
Earth,2.52288e+08,1.33989e+11,-6.91928e+10,0,14350,25928.5,0,-1.97496e+35,3.14159e+43
Moon,2.52288e+08,4.19441e+10,-1.55241e+11,0,27018.2,7218.36,0,-1.97496e+35,3.14159e+43
Mars,2.52288e+08,-2.04735e+10,2.30728e+11,0,-24039.8,-2421.72,0,-1.97496e+35,3.14159e+43
Jupiter,2.52288e+08,-3.58427e+11,-6.86045e+11,0,11580.4,-6016.8,0,-1.97496e+35,3.14159e+43
Saturn,2.52288e+08,-1.9243e+11,1.42448e+12,0,-9541.82,-1230.22,0,-1.97496e+35,3.14159e+43
Uranus,2.52288e+08,2.37211e+12,1.61523e+12,0,-3837.56,5620.05,0,-1.97496e+35,3.14159e+43
Neptune,2.52288e+08,4.29082e+12,1.34885e+12,0,-1633.59,5180.11,0,-1.97496e+35,3.14159e+43
Sun,3.1536e+08,1.01107e+09,5.1457e+09,0,-7.92664,10.0586,0,-1.97452e+35,3.14163e+43
Mercury,3.1536e+08,2.20726e+10,7.21737e+10,0,-41651.5,11995.6,0,-1.97452e+35,3.14163e+43
Venus,3.1536e+08,3.30636e+10,-1.02672e+11,0,32922.2,9765.71,0,-1.97452e+35,3.14163e+43
