name,t,x,y,z,vx,vy,vz,E,L
Sun,0,0,0,0,0,0,0,-1.97701e+35,3.14144e+43
Mercury,0,5.78952e+10,0,0,0,47360,0,-1.97701e+35,3.14144e+43
Venus,0,1.08161e+11,0,0,0,35020,0,-1.97701e+35,3.14144e+43
Earth,0,1.496e+11,0,0,0,29780,0,-1.97701e+35,3.14144e+43
Moon,0,1.49984e+11,0,0,0,30802,0,-1.97701e+35,3.14144e+43
Mars,0,2.2799e+11,0,0,0,24077,0,-1.97701e+35,3.14144e+43
Jupiter,0,7.78369e+11,0,0,0,13070,0,-1.97701e+35,3.14144e+43
Saturn,0,1.42674e+12,0,0,0,9690,0,-1.97701e+35,3.14144e+43
Uranus,0,2.87097e+12,0,0,0,6800,0,-1.97701e+35,3.14144e+43
Neptune,0,4.49847e+12,0,0,0,5430,0,-1.97701e+35,3.14144e+43
Sun,6.3072e+07,4.17305e+08,1.55912e+08,0,12.1456,6.70793,0,-1.97701e+35,3.14144e+43
Mercury,6.3072e+07,-4.84588e+10,-2.62785e+10,0,23045,-43635.4,0,-1.97701e+35,3.14144e+43
Venus,6.3072e+07,-3.02646e+09,1.0817e+11,0,-35018.5,-1138.66,0,-1.97701e+35,3.14144e+43
Earth,6.3072e+07,1.50005e+11,-1.71457e+09,0,395.313,29792.6,0,-1.97701e+35,3.14144e+43
Moon,6.3072e+07,1.50146e+11,-1.35433e+09,0,-538.548,30169.9,0,-1.97701e+35,3.14144e+43
Mars,6.3072e+07,2.07242e+11,9.58755e+10,0,-10146.5,21845.4,0,-1.97701e+35,3.14144e+43
Jupiter,6.3072e+07,3.81985e+11,6.78937e+11,0,-11371.3,6414.11,0,-1.97701e+35,3.14144e+43
Saturn,6.3072e+07,1.29848e+12,5.92855e+11,0,-4002.88,8823.88,0,-1.97701e+35,3.14144e+43
Uranus,6.3072e+07,2.83891e+12,4.273e+11,0,-1014.73,6724.43,0,-1.97701e+35,3.14144e+43
Neptune,6.3072e+07,4.4854e+12,3.42151e+11,0,-414.312,5414.3,0,-1.97701e+35,3.14144e+43
Sun,1.26144e+08,1.27594e+09,1.00252e+09,0,12.8541,20.0564,0,-1.97701e+35,3.14144e+43
Mercury,1.26144e+08,3.62402e+10,4.65186e+10,0,-38382,28458.5,0,-1.97701e+35,3.14144e+43
Venus,1.26144e+08,-1.06473e+11,-6.23969e+09,0,2363.49,-34975.3,0,-1.97701e+35,3.14144e+43
Earth,1.26144e+08,1.50836e+11,-2.74231e+09,0,767.025,29812,0,-1.97701e+35,3.14144e+43
Moon,1.26144e+08,1.50555e+11,-2.47704e+09,0,73.152,29072.8,0,-1.97701e+35,3.14144e+43
Mars,1.26144e+08,1.4847e+11,1.74649e+11,0,-18434.3,15548.7,0,-1.97701e+35,3.14144e+43
Jupiter,1.26144e+08,-4.0283e+11,6.66971e+11,0,-11150.2,-6752.25,0,-1.97701e+35,3.14144e+43
Saturn,1.26144e+08,9.3728e+11,1.07971e+12,0,-7274.16,6380.97,0,-1.97701e+35,3.14144e+43
Uranus,1.26144e+08,2.74345e+12,8.45092e+11,0,-2006.76,6498.95,0,-1.97701e+35,3.14144e+43
Neptune,1.26144e+08,4.44626e+12,6.82322e+11,0,-826.206,5367.23,0,-1.97701e+35,3.14144e+43
Sun,1.89216e+08,1.79362e+09,2.55158e+09,0,2.33507,26.9982,0,-1.97701e+35,3.14144e+43
Mercury,1.89216e+08,-3.92916e+09,-5.36654e+10,0,48169.4,-5932.08,0,-1.97701e+35,3.14144e+43
Venus,1.89216e+08,1.28191e+10,-1.04966e+11,0,34867.7,3573.73,0,-1.97701e+35,3.14144e+43
Earth,1.89216e+08,1.51287e+11,-3.0704e+09,0,1116.97,29811.7,0,-1.97701e+35,3.14144e+43
Moon,1.89216e+08,1.5094e+11,-3.23381e+09,0,1537.16,28879.5,0,-1.97701e+35,3.14144e+43
Mars,1.89216e+08,6.18912e+10,2.21701e+11,0,-23319.8,6316.18,0,-1.97701e+35,3.14144e+43
Jupiter,1.89216e+08,-7.76604e+11,-2.23074e+10,0,425.642,-13026.3,0,-1.97701e+35,3.14144e+43
Saturn,1.89216e+08,4.08674e+11,1.37397e+12,0,-9232.22,2812.47,0,-1.97701e+35,3.14144e+43
Uranus,1.89216e+08,2.5867e+12,1.24405e+12,0,-2954.65,6128.16,0,-1.97701e+35,3.14144e+43
Neptune,1.89216e+08,4.38128e+12,1.01854e+12,0,-1233.4,5289.02,0,-1.97701e+35,3.14144e+43
Sun,2.52288e+08,1.57993e+09,4.14688e+09,0,-8.05345,21.4179,0,-1.97701e+35,3.14144e+43
Mercury,2.52288e+08,-1.44584e+10,5.80966e+10,0,-46416.2,-14831,0,-1.97701e+35,3.14144e+43
Venus,2.52288e+08,1.08772e+11,1.85796e+10,0,-4684.7,34727.9,0,-1.97701e+35,3.14144e+43
Earth,2.52288e+08,1.50993e+11,-3.35026e+09,0,1472.08,29776,0,-1.97701e+35,3.14144e+43
Moon,2.52288e+08,1.51018e+11,-3.7356e+09,0,2478.85,29828.8,0,-1.97701e+35,3.14144e+43
Mars,2.52288e+08,-3.66489e+10,2.27687e+11,0,-23848,-4162.11,0,-1.97701e+35,3.14144e+43
Jupiter,2.52288e+08,-3.58226e+11,-6.86059e+11,0,11582.7,-6014.13,0,-1.97701e+35,3.14144e+43
Saturn,2.52288e+08,-1.92434e+11,1.42447e+12,0,-9541.81,-1230.33,0,-1.97701e+35,3.14144e+43
Uranus,2.52288e+08,2.3721e+12,1.61523e+12,0,-3837.56,5620.04,0,-1.97701e+35,3.14144e+43
Neptune,2.52288e+08,4.29082e+12,1.34885e+12,0,-1633.59,5180.11,0,-1.97701e+35,3.14144e+43
Sun,3.1536e+08,1.01085e+09,5.14466e+09,0,-7.71541,10.0615,0,-1.97701e+35,3.14144e+43
Mercury,3.1536e+08,4.37038e+10,-3.3467e+10,0,32468.4,34862.6,0,-1.97701e+35,3.14144e+43
Venus,3.1536e+08,-1.68424e+10,1.11715e+11,0,-34575.1,-5809.23,0,-1.97701e+35,3.14144e+43
