name,t,x,y,z,vx,vy,vz,E,L
Sun,0,0,0,0,0,-15.989,0,-1.97956e+35,3.13665e+43
Mercury,0,5.78952e+10,0,0,0,47344,0,-1.97956e+35,3.13665e+43
Venus,0,1.08161e+11,0,0,0,35004,0,-1.97956e+35,3.13665e+43
Earth,0,1.496e+11,0,0,0,29764,0,-1.97956e+35,3.13665e+43
Moon,0,1.49984e+11,0,0,0,30786,0,-1.97956e+35,3.13665e+43
Mars,0,2.2799e+11,0,0,0,24061,0,-1.97956e+35,3.13665e+43
Jupiter,0,7.78369e+11,0,0,0,13054,0,-1.97956e+35,3.13665e+43
Saturn,0,1.42674e+12,0,0,0,9674.01,0,-1.97956e+35,3.13665e+43
Uranus,0,2.87097e+12,0,0,0,6784.01,0,-1.97956e+35,3.13665e+43
Neptune,0,4.49847e+12,0,0,0,5414.01,0,-1.97956e+35,3.13665e+43
Sun,6.3072e+07,0,0,0,0,-15.989,0,-1.50591e+34,3.14002e+43
Mercury,6.3072e+07,-1.00355e+10,2.6468e+10,0,-90515.3,-34324.1,0,-1.50591e+34,3.14002e+43
Venus,6.3072e+07,-1.11186e+11,-1.23945e+12,0,1744.8,-14637.9,0,-1.50591e+34,3.14002e+43
Earth,6.3072e+07,-7.16198e+10,-2.3641e+10,0,18370.5,-56205.9,0,-1.50591e+34,3.14002e+43
Moon,6.3072e+07,-3.90331e+10,-5.8169e+10,0,51079.3,-34362.7,0,-1.50591e+34,3.14002e+43
Mars,6.3072e+07,-3.46933e+11,-1.0435e+12,0,91.1984,-15563.7,0,-1.50591e+34,3.14002e+43
Jupiter,6.3072e+07,-2.38336e+11,3.0793e+11,0,-20663,-15999.9,0,-1.50591e+34,3.14002e+43
Saturn,6.3072e+07,1.11729e+12,5.6021e+11,0,-10974.4,6857.8,0,-1.50591e+34,3.14002e+43
Uranus,6.3072e+07,2.80322e+12,4.2541e+11,0,-2212.32,6612.88,0,-1.50591e+34,3.14002e+43
Neptune,6.3072e+07,4.47161e+12,3.41791e+11,0,-863.486,5380.68,0,-1.50591e+34,3.14002e+43
Sun,1.26144e+08,0,0,0,0,-15.989,0,-3.3127e+33,3.13908e+43
Mercury,1.26144e+08,-2.57825e+10,-1.18829e+10,0,40811.4,-87481.3,0,-3.3127e+33,3.13908e+43
Venus,1.26144e+08,5.52456e+09,-2.04323e+12,0,1884.82,-11408,0,-3.3127e+33,3.13908e+43
Earth,1.26144e+08,-6.87785e+10,2.96113e+10,0,-23582.1,-54688.5,0,-3.3127e+33,3.13908e+43
